word,counts
you,37364
i,28073
the,14145
it,9936
to,9672
a,9634
me,9588
my,8020
not,7635
and,7363
e,7236
is,7109
yeah,6585
am,6378
do,5734
that,5668
in,5600
on,5363
c,4859
like,4411
oh,4046
we,3934
up,3711
your,3577
know,3365
all,3354
with,3354
b,3227
no,3108
want,3044
can,2939
for,2902
got,2873
are,2861
be,2860
but,2826
of,2784
love,2703
just,2632
so,2529
will,2446
what,2347
get,2308
this,2289
ooh,2222
when,2125
she,2121
they,2094
out,2029
go,1972
if,1773
now,1740
let,1716
have,1666
aint,1611
because,1536
down,1473
never,1439
was,1437
one,1406
baby,1405
bitch,1397
back,1393
time,1268
say,1260
had,1247
need,1224
make,1217
ayy,1209
her,1189
been,1163
fuck,1158
at,1152
see,1126
uh,1112
shit,1102
tell,1096
nigga,1024
d,1003
take,992
way,988
going,987
how,973
from,971
keep,969
could,958
feel,934
too,933
come,926
he,892
us,864
right,845
there,825
la,780
off,759
give,757
these,754
then,730
some,728
think,723
night,721
said,716
girl,713
look,705
life,705
em,699
put,686
ah,679
bad,673
gon,666
why,664
niggas,662
gotta,650
mind,647
woo,645
cc,623
hey,622
only,621
good,621
still,620
day,619
man,613
here,613
da,610
ac,604
where,597
who,579
woah,574
through,571
every,570
f,564
more,563
call,547
hit,547
money,546
better,546
ever,540
made,534
about,533
over,532
really,530
them,515
heart,501
by,500
ya,498
head,487
stay,486
even,478
or,472
feeling,471
new,470
ama,463
away,458
would,457
around,455
nothing,449
find,445
always,443
run,443
tryna,440
as,440
bout,427
na,421
again,418
big,412
something,409
little,404
huh,395
him,393
two,389
gang,383
real,382
home,382
getting,379
leave,376
eyes,376
tonight,371
running,370
lil,368
boy,359
ass,358
doe,358
show,357
everything,356
thing,355
did,352
than,350
talk,347
told,345
fucking,343
hold,342
world,342
into,334
pull,333
walk,332
coming,329
stop,329
notil,328
were,324
bitches,323
ride,322
looking,321
try,319
left,319
much,315
friends,313
hard,312
myself,312
might,311
an,311
should,309
turn,306
high,305
believe,304
body,303
god,302
die,302
doo,301
play,300
wait,298
light,296
okay,295
things,295
someone,295
face,294
somebody,289
our,285
same,282
diamonds,282
his,281
hate,279
name,275
alone,275
m,273
mmm,267
pop,264
before,263
whole,261
top,260
nobody,260
skrrt,259
lot,258
side,256
fall,255
long,253
damn,252
last,248
watch,244
wish,244
mine,241
o,240
bring,240
ice,239
hot,237
break,236
pussy,233
took,233
everybody,232
move,232
lost,232
used,230
sweet,229
didn,229
dance,228
another,227
though,226
enough,226
y,225
young,225
t,224
thought,223
maybe,222
came,221
falling,221
lose,220
talking,218
babe,218
days,217
other,217
mean,213
please,213
close,213
s,211
best,210
mad,209
nah,207
knew,207
fire,206
alright,206
people,205
miss,204
many,202
different,202
else,202
work,201
change,201
ae,200
care,200
lie,199
crazy,199
live,199
inside,199
living,199
drop,198
ho,198
touch,197
straight,195
girls,193
hands,193
well,191
drip,191
while,191
bag,191
cry,189
end,189
times,189
sleep,187
hear,187
hope,186
gave,185
waiting,184
