word,counts
que,3660
no,2433
y,1993
la,1794
me,1781
te,1706
a,1588
tu,1537
yo,1419
de,1277
se,1215
lo,1198
el,1164
oh,1044
en,995
mi,871
si,769
u,704
eh,680
pa,677
como,651
un,546
con,518
yeh,516
pero,515
por,495
le,475
es,467
yeah,452
e,426
ella,423
ey,416
quiero,393
baby,391
ya,389
c,347
esta,332
cuando,326
una,318
ti,299
ah,290
o,279
los,278
las,269
to,263
uh,259
b,258
quiere,252
va,236
mas,235
porque,233
soy,232
tiene,230
wuh,222
tengo,210
solo,201
eso,196
hace,192
ahora,190
bien,178
sin,177
da,175
uah,174
bebe,174
siempre,173
noche,170
hasta,170
ve,166
su,165
hay,161
conmigo,160
aqui,154
todo,150
nos,147
dime,145
asi,143
para,141
voy,139
otra,139
hoy,138
estoy,135
yah,133
pam,131
mami,130
vamo,130
gusta,130
ese,127
sabe,127
al,127
dice,125
ta,125
baila,122
amor,122
cama,121
vez,121
nadie,121
eres,120
ni,116
ay,113
woh,113
ma,113
contigo,110
ere,108
tiempo,108
vida,106
estas,105
esa,103
you,103
na,102
d,101
nunca,99
the,96
nada,95
tus,93
esto,93
otro,92
ver,91
quien,89
fue,89
f,89
i,89
dale,86
dura,86
puedo,85
ser,83
hacer,83
mal,83
uoh,82
quieres,81
dimelo,81
paso,80
mia,77
del,77
vi,76
sola,76
ahi,76
tienes,76
rico,75
mejor,75
pone,75
pum,74
ac,74
donde,73
beso,72
pide,72
loca,71
tire,70
hago,70
rebola,69
tan,69
ra,69
prr,68
mundo,68
machika,68
runa,67
veo,66
vas,66
tra,65
reggaeton,65
on,65
calor,64
vo,63
desde,63
dia,61
boca,61
son,60
real,59
novio,59
cuerpo,59
este,59
flow,58
nuestro,58
pom,58
sigo,57
tambien,57
verte,57
algo,57
perreo,56
dos,55
era,54
ven,54
he,54
nuevo,54
pasa,53
puede,53
duro,52
encima,51
rato,51
par,51
despues,51
amiga,51
s,50
let,50
llama,50
aunque,50
estar,50
siento,49
j,49
pensando,49
bailar,49
bailando,49
dame,48
nota,48
ton,48
doy,47
mujer,47
dejame,46
jaja,46
suena,46
l,46
tas,46
mis,46
mismo,45
deja,45
nena,45
sea,45
balvin,44
ha,44
digo,44
corazon,44
sigue,44
buena,44
decir,44
music,43
girl,43
mente,43
musica,43
dile,42
vaya,42
bola,41
ahn,41
bebecita,41
criminal,41
sol,40
pase,40
tuyo,40
pasar,40
dejo,40
sale,40
necesito,40
ganas,40
ca,40
dembow,39
casa,39
leggo,39
toda,39
mueve,39
g,38
brr,38
