"word","frequency"
"i",26981
"you",18091
"the",14189
"u",11589
"it",9640
"to",9600
"a",9508
"me",9191
"my",7983
"not",7654
"is",7421
"and",7063
"e",6892
"am",6399
"yeah",6290
"that",5674
"in",5495
"do",5478
"on",5416
"like",4389
"we",3798
"oh",3690
"up",3615
"your",3491
"with",3347
"know",3284
"all",3183
"no",3067
"want",2981
"for",2928
"can",2925
"are",2867
"got",2852
"but",2727
"be",2723
"of",2687
"just",2587
"love",2480
"so",2442
"will",2391
"what",2372
"get",2281
"this",2207
"ooh",2137
"when",2085
"she",2063
"they",2048
"go",1905
"out",1901
"if",1711
"let",1692
"have",1664
"aint",1616
"now",1566
"because",1529
"was",1455
"down",1435
"never",1395
"back",1371
"bitch",1358
"one",1348
"baby",1327
"say",1274
"had",1270
"need",1223
"time",1215
"make",1188
"her",1178
"been",1174
"at",1146
"ayy",1142
"fuck",1142
"see",1112
"tell",1111
"shit",1056
"uh",1045
"nigga",992
"going",991
"from",980
"could",979
"c",971
"keep",964
"take",963
"way",962
"how",932
"feel",909
"too",907
"come",901
"he",867
"right",816
"there",799
"off",776
"la",753
"give",746
"these",742
"some",723
"then",721
"think",712
"said",706
"girl",694
"life",682
"look",675
"night",665
"put",665
"bad",653
"niggas",653
"why",653
"gem",652
"ah",648
"b",643
"mind",640
"woo",638
"gotta",637
"gong",630
"day",601
"still",599
"here",598
"good",595
"only",593
"where",584
"man",569
"da",564
"more",560
"through",558
"hey",553
"every",550
"woah",550
"call",541
"about",538
"really",535
"ever",532
"better",530
"made",530
"money",526
"over",523
"them",508
"who",505
"by",496
"or",494
"ya",484
"hit",480
"even",475
"heart",471
"ama",469
"head",469
"around",454
"away",452
"tryna",452
"nothing",450
"new",449
"us",443
"find",437
"would",437
"f",433
"run",432
"always",427
"as",422
"feeling",412
"gbout",411
"little",408
"something",399
"stay",396
"again",387
"gang",385
"him",385
"cc",383
"two",380
"doe",379
"getting",379
"big",378
"tonight",372
"leave",368
"running",365
"real",363
"fucking",362
"home",359
"ass",355
"thing",355
"talk",354
"than",351
"everything",350
"eyes",348
"huh",345
"did",344
"hold",341
"notil",337
"told",335
"into",332
"world",326
"coming",322
"left",322
"pull",322
"bitches",320
"show",319
"stop",319
"walk",319
"were",318
"ride",316
"try",316
"boy",314
"friends",314
"an",309
"might",307
"should",307
"looking",305
"hard",304
"body",302
"much",302
"doo",301
"na",300
"god",298
"myself",295
"turn",294
"wait",294
"play",291
"die",289
"his",288
"high",284
"things",283
"light",281
"our",281
"d",280
"same",278
"hate",273
"okay",273
"somebody",273
"face",272
"someone",270
"lilg",269
"name",269
"diamonds",268
"m",267
"pop",267
"believe",264
"before",260
"fall",259
"nobody",258
"whole",257
"skrrt",256
"bring",254
"mmm",252
"side",248
"top",246
"alone",244
"lot",244
"didn",242
"long",241
"lost",241
"watch",240
"last",239
"ice",238
"hot",236
"damn",232
"pussy",232
"wish",229
"break",227
"move",225
"o",225
"took",223
"used",222
"mine",221
"came",220
"talking",219
"thought",219
"another",216
"enough",216
"sweet",215
"falling",214
"lose",214
"nah",214
"days",213
"close",210
"though",209
"maybe",207
"mean",207
"please",206
"young",206
"t",205
"babe",203
"fire",203
"knew",203
"many",202
"people",201
"mad",200
"other",200
"dance",199
"everybody",198
"miss",198
"work",198
"living",197
"lie",196
"s",196
"care",195
"live",195
"inside",191
"alright",190
"else",190
"drip",189
"straight",189
"end",188
"hear",188
"waiting",187
"crazy",186
"while",186
"drop",185
"hands",185
"touch",185
"ho",184
"hope",184
"doing",183
"bag",182
"change",182
"best",181
"cry",180
"girls",180
"pain",180
"went",180
"cold",179
"times",179
"wrong",178
"dark",177
"gave",177
"guess",177
"rain",177
"hoes",175
"hundred",175
"ody",175
"christmas",172
"ring",172
"old",171
"rich",171
"help",170
"thinking",170
"well",170
"forget",169
"sleep",169
"own",168
"without",168
"beat",167
"gone",167
"moving",167
"first",166
"start",166
"wrist",163
"bands",162
"oo",162
"throw",162
"whip",159
"line",157
"seen",157
"hell",156
"low",156
"catch",155
"check",155
"place",154
"smoke",154
"three",154
"cut",153
"playing",153
"after",152
"ground",151
"heard",151
"mama",151
"roll",151
"white",151
"sometimes",150
"bed",149
"shawty",149
"black",147
"cash",147
"fast",147
"hand",147
"kiss",146
"blue",145
"fly",145
"taking",145
"under",145
"beautiful",144
"broke",143
"free",142
"phone",142
"dead",141
"forever",141
"ready",141
"those",141
"type",140
"room",139
"sorry",139
"taste",139
"nights",137
"different",136
"mm",136
"lonely",135
"making",135
"game",134
"house",134
"shoot",134
"swear",134
"cool",133
"dick",133
"found",133
"red",133
"feels",132
"morning",132
"thousand",132
"soul",131
"anything",130
"city",130
"does",130
"water",130
"hurt",129
"thunder",129
"dancing",128
"door",128
"next",128
"gucci",127
"save",127
"open",126
"trust",126
"pretty",125
"sky",125
"true",125
"blah",123
"fine",123
"since",123
"bank",122
"lit",122
"slide",122
"bought",121
"million",121
"neck",121
"saying",121
"ones",120
"racks",120
"word",120
"fucked",119
"fight",118
"friend",118
"telling",118
"year",118
"ask",117
"control",117
"dum",117
"five",117
"scared",117
"tried",117
"being",116
"dripping",116
"song",116
"stars",116
"couple",115
"slow",115
"calling",114
"car",114
"ac",113
"ha",113
"remember",113
"both",112
"l",112
"loving",112
"party",112
"dog",110
"kill",110
"sun",110
"matter",109
"once",109
"space",109
"ygall",109
"woman",108
"any",107
"eh",107
"saw",107
"trying",107
"until",107
"jump",106
"lil",106
"past",106
"step",106
"town",106
"whoa",106
"far",105
"g",105
"road",105
"together",105
"wake",105
"wild",105
"acting",104
"alive",104
"wanted",104
"yes",104
"ball",103
"drive",103
"brain",102
"club",102
"dreams",102
"safe",102
"wonder",102
"wouldn",102
"late",101
"cannot",100
"deep",100
"dumb",100
"outside",100
"their",100
"four",99
"meet",99
"riding",99
"sick",99
"sing",99
"tears",99
"tripping",99
"eah",98
"sound",98
"yourself",98
"arms",97
"boom",97
"eat",97
"happy",97
"rest",97
"wasted",97
"caught",96
"reason",96
"comes",95
"coupe",95
"ta",95
"y",95
"bet",94
"bust",94
"front",94
"hop",94
"lights",94
"moment",94
"popping",94
"bit",93
"darling",93
"most",93
"dreaming",92
"summer",92
"probably",91
"shot",91
"blow",90
"dream",90
"fool",90
"rock",90
"sad",90
"sipping",90
"yo",90
"goes",89
"knows",89
"part",89
"seem",89
"sure",89
"blood",88
"ding",88
"full",88
"gun",88
"lo",88
"truth",88
"broken",87
"loved",87
"wet",87
"brr",86
"shots",86
"born",85
"feet",85
"felt",85
"fu",85
"gold",85
"hide",85
"set",85
"stand",85
"trap",85
"air",84
"already",84
"between",84
"goodbye",84
"lean",84
"watching",84
"drunk",83
"hoo",83
"leaving",83
"must",83
"santa",83
"spend",83
"fake",82
"forward",82
"hallelujah",82
"losing",82
"met",82
"middle",82
"nice",82
"perfect",82
"chase",81
"drink",81
"stuck",81
"breathe",80
"cardi",80
"easy",80
"lotta",80
"stick",80
"hurts",79
"outta",79
"pay",79
"six",79
"ten",79
"floor",78
"smoking",78
"turned",78
"higher",77
"jet",77
"lord",77
"shine",77
"single",77
"anybody",76
"chain",76
"clean",76
"fun",76
"holding",76
"pick",76
"understand",76
"walking",76
"block",75
"buy",75
"feelings",75
"kick",75
"meant",75
"act",74
"blame",74
"blowing",74
"devil",74
"drugs",74
"started",74
"streets",74
"stupid",74
"vibe",74
"whatever",74
"yah",74
"freedom",73
"has",73
"promise",73
"ri",73
"boss",72
"hair",72
"kinda",72
"knees",72
"pray",72
"bang",71
"mouth",71
"paid",71
"sense",71
"star",71
"follow",70
"lovers",70
"mhm",70
"moonlight",70
"speak",70
"brand",69
"called",69
"dawg",69
"dope",69
"lied",69
"lies",69
"ocean",69
"rather",69
"words",69
"each",68
"grari",68
"heartless",68
"heaven",68
"wave",68
"afraid",67
"less",67
"singing",67
"half",66
"icy",66
"k",66
"lay",66
"waste",66
"carry",65
"count",65
"cross",65
"drinking",65
"giving",65
"hood",65
"loco",65
"minute",65
"pulling",65
"wishing",65
"instead",64
"ma",64
"naked",64
"smile",64
"spent",64
"twenty",64
"yuh",64
"brrt",63
"finna",63
"hmm",63
"send",63
"throwing",63
"tired",63
"apart",62
"bye",62
"fell",62
"listen",62
"mi",62
"murder",62
"push",62
"today",62
"boys",61
"double",61
"everyone",61
"green",61
"needed",61
"shake",61
"shut",61
"years",61
"behind",60
"bro",60
"fill",60
"killing",60
"skin",60
"trip",60
"flying",59
"keeping",59
"nowhere",59
"price",59
"problems",59
"soon",59
"standing",59
"street",59
"above",58
"chop",58
"closer",58
"de",58
"doors",58
"greatest",58
"guy",58
"having",58
"peace",58
"second",58
"sex",58
"treat",58
"uzi",58
"witg",58
"yet",58
"dollar",57
"motherfucking",57
"piece",57
"sit",57
"baow",56
"cup",56
"golden",56
"lambo",56
"lying",56
"music",56
"rap",56
"underneath",56
"anywhere",55
"beg",55
"dress",55
"gas",55
"glass",55
"plug",55
"que",55
"quick",55
"screaming",55
"skrr",55
"switch",55
"tight",55
"wear",55
"worth",55
"against",54
"breaking",54
"clothes",54
"deal",54
"demons",54
"favorite",54
"juice",54
"mess",54
"moon",54
"none",54
"point",54
"school",54
"team",54
"wall",54
"asking",53
"awake",53
"blind",53
"figure",53
"foreign",53
"re",53
"sleeping",53
"th",53
"working",53
"bottle",52
"breathing",52
"case",52
"enemies",52
"known",52
"loves",52
"mmh",52
"rolling",52
"sign",52
"teach",52
"ways",52
"yours",52
"bottom",51
"bounce",51
"codeine",51
"kitchen",51
"locked",51
"mirror",51
"mood",51
"pass",51
"anymore",50
"balling",50
"boyfriend",50
"chance",50
"chest",50
"daddy",50
"drank",50
"drown",50
"games",50
"glock",50
"lately",50
"patek",50
"r",50
"suicide",50
"switching",50
"truck",50
"anyone",49
"brother",49
"grrt",49
"hoping",49
"link",49
"ran",49
"savage",49
"somewhere",49
"tomorrow",49
"very",49
"woke",49
"gets",48
"hah",48
"haha",48
"haven",48
"kind",48
"king",48
"lips",48
"mob",48
"older",48
"paradise",48
"ruin",48
"shorty",48
"showing",48
"snow",48
"cause",47
"crying",47
"great",47
"guys",47
"jingle",47
"magic",47
"memories",47
"rise",47
"thoughts",47
"ay",46
"burning",46
"clear",46
"cop",46
"death",46
"driving",46
"fifty",46
"may",46
"pocket",46
"speed",46
"stress",46
"sucker",46
"v",46
"ba",45
"benz",45
"bigger",45
"cars",45
"chasing",45
"clout",45
"crib",45
"eye",45
"flip",45
"hearts",45
"honey",45
"power",45
"small",45
"such",45
"takes",45
"wondering",45
"bae",44
"bc",44
"bullets",44
"candy",44
"fix",44
"keeps",44
"key",44
"lead",44
"loud",44
"makes",44
"nasty",44
"pack",44
"picture",44
"wide",44
"ap",43
"died",43
"dying",43
"grab",43
"hurry",43
"imagine",43
"knock",43
"learn",43
"lick",43
"opps",43
"p",43
"pulled",43
"spot",43
"strong",43
"wow",43
"bentley",42
"cap",42
"changed",42
"dust",42
"ends",42
"fact",42
"finally",42
"finger",42
"ga",42
"gfore",42
"honest",42
"jeans",42
"louis",42
"picking",42
"proud",42
"read",42
"rules",42
"saint",42
"suck",42
"toe",42
"twice",42
"weather",42
"whenever",42
"wraith",42
"af",41
"burn",41
"chopper",41
"closed",41
"cost",41
"flow",41
"freaky",41
"kids",41
"laugh",41
"person",41
"plans",41
"popped",41
"pride",41
"radio",41
"rescue",41
"shirt",41
"thot",41
"throat",41
"till",41
"wine",41
"worst",41
"yeahi",41
"attention",40
"bright",40
"brought",40
"ddu",40
"dollars",40
"dry",40
"energy",40
"family",40
"famous",40
"focused",40
"issues",40
"land",40
"notice",40
"paper",40
"rollie",40
"sheesh",40
"shining",40
"turning",40
"win",40
"winning",40
"cover",39
"diamond",39
"dig",39
"goddamn",39
"holy",39
"mask",39
"n",39
"psycho",39
"rockabye",39
"roof",39
"self",39
"smell",39
"teeth",39
"wants",39
"week",39
"along",38
"bend",38
"benzo",38
"chill",38
"chopsticks",38
"flexing",38
"girlfriend",38
"killed",38
"least",38
"lift",38
"list",38
"news",38
"paint",38
"pour",38
"regret",38
"sold",38
"text",38
"tip",38
"track",38
"tree",38
"weekend",38
"wife",38
"worry",38
"x",38
"ye",38
"belong",37
"business",37
"busting",37
"checks",37
"faded",37
"fear",37
"foot",37
"forgot",37
"hang",37
"insane",37
"knowing",37
"missing",37
"molly",37
"prone",37
"rockstar",37
"scars",37
"scream",37
"sell",37
"shout",37
"sight",37
"signs",37
"sitting",37
"slip",37
"steady",37
"table",37
"tongue",37
"un",37
"admit",36
"bar",36
"breath",36
"dom",36
"edge",36
"fame",36
"freak",36
"hanging",36
"happen",36
"happening",36
"jumping",36
"kissing",36
"londo",36
"numb",36
"rings",36
"slowly",36
"spinning",36
"walked",36
"addicted",35
"bite",35
"bleed",35
"bow",35
"chilling",35
"culture",35
"dirty",35
"facts",35
"fair",35
"faith",35
"lover",35
"men",35
"miles",35
"mix",35
"pole",35
"prove",35
"quiet",35
"regular",35
"round",35
"seeing",35
"shooting",35
"staring",35
"sugar",35
"supposed",35
"thriller",35
"use",35
"war",35
"bling",34
"bobby",34
"bones",34
"chanel",34
"clap",34
"crown",34
"empty",34
"esskeetit",34
"fit",34
"flex",34
"focus",34
"guns",34
"heat",34
"looked",34
"lucky",34
"monster",34
"pipe",34
"private",34
"squad",34
"thank",34
"york",34
"yup",34
"aren",33
"begging",33
"claus",33
"cream",33
"grow",33
"hunnid",33
"killer",33
"lane",33
"letting",33
"mami",33
"movie",33
"police",33
"remind",33
"sides",33
"slime",33
"spoil",33
"story",33
"wonderland",33
"xans",33
"ain",32
"box",32
"brrat",32
"ee",32
"en",32
"everywhere",32
"flight",32
"ghost",32
"hello",32
"jewelry",32
"knife",32
"level",32
"liar",32
"listening",32
"loose",32
"luck",32
"main",32
"merry",32
"miami",32
"moves",32
"number",32
"plead",32
"pow",32
"rocking",32
"showed",32
"simple",32
"sliding",32
"slipping",32
"someday",32
"spin",32
"starts",32
"strip",32
"west",32
"whipping",32
"yummy",32
"account",31
"ahead",31
"ahh",31
"angel",31
"bells",31
"bougie",31
"cocaine",31
"counting",31
"duh",31
"el",31
"ex",31
"ey",31
"fat",31
"fault",31
"fold",31
"gat",31
"happened",31
"innocence",31
"kept",31
"mei",31
"michael",31
"mistakes",31
"raised",31
"respect",31
"rush",31
"shoes",31
"silence",31
"te",31
"tempo",31
"thang",31
"toes",31
"worse",31
"yellow",31
"bricks",30
"busy",30
"clock",30
"darkness",30
"designer",30
"eating",30
"enemy",30
"fingers",30
"grave",30
"handle",30
"haters",30
"holg",30
"honestly",30
"job",30
"lady",30
"lock",30
"macarena",30
"maría",30
"millions",30
"near",30
"nose",30
"pieces",30
"played",30
"praying",30
"reach",30
"rolls",30
"sip",30
"starting",30
"swalla",30
"asked",29
"bless",29
"booty",29
"breaks",29
"build",29
"ceiling",29
"chains",29
"cheese",29
"coffee",29
"crash",29
"crowd",29
"dad",29
"deserve",29
"draco",29
"dropped",29
"du",29
"fighting",29
"goodbyes",29
"harder",29
"hating",29
"hitting",29
"hopped",29
"horse",29
"joke",29
"kid",29
"maniac",29
"messing",29
"needs",29
"owe",29
"pills",29
"prada",29
"selling",29
"share",29
"sleigh",29
"songs",29
"spending",29
"staying",29
"steal",29
"stopping",29
"storm",29
"stylist",29
"thirty",29
"vibes",29
"window",29
"women",29
"worried",29
"angels",28
"beating",28
"brrr",28
"changing",28
"fans",28
"funny",28
"goosebumps",28
"hurting",28
"minutes",28
"mud",28
"opp",28
"pictures",28
"pockets",28
"posted",28
"pretend",28
"queen",28
"question",28
"saved",28
"serious",28
"serving",28
"seven",28
"spit",28
"strangers",28
"sunday",28
"tag",28
"waist",28
"weed",28
"woulda",28
"write",28
"almost",27
"arm",27
"barbie",27
"brick",27
"cake",27
"catching",27
"drug",27
"ease",27
"giants",27
"ll",27
"mike",27
"offset",27
"pink",27
"quarter",27
"quit",27
"replay",27
"rocket",27
"shimmy",27
"sink",27
"special",27
"using",27
"view",27
"barely",26
"bedroom",26
"blessed",26
"bread",26
"brown",26
"cartier",26
"chicken",26
"choose",26
"crew",26
"drama",26
"emotional",26
"extra",26
"finish",26
"fresh",26
"grown",26
"guap",26
"hours",26
"laurent",26
"lives",26
"mistletoe",26
"momma",26
"motherfucker",26
"pa",26
"park",26
"plate",26
"problem",26
"rover",26
"sins",26
"store",26
"tastes",26
"tear",26
"um",26
"weak",26
"wie",26
"brothers",25
"celebrate",25
"clip",25
"color",25
"common",25
"east",25
"fancy",25
"feed",25
"ggram",25
"hearing",25
"heavy",25
"j",25
