"artist_id","artist_name","genres"
"6Ff53KvcvAj5U7Z1vojB5o","*NSYNC","boy band,dance pop,pop"
"17lzZA2AlOHwCwFALHttmp","2 Chainz","atl hip hop,gangster rap,hip hop,pop rap,rap,southern hip hop,trap"
"1URnnhqYAYcrqrcwql10ft","21 Savage","atl hip hop,rap,trap"
"6fWVd57NKTalqvmjRd2t8Z","24kGoldn","cali rap"
"5Rl15oVamLq7FbSb0NNBNy","5 Seconds of Summer","boy band,dance pop,electropop,pop,post-teen pop"
"4IVAbR2w4JJNJDDRFP3E83","6LACK","alternative r&b,atl hip hop,hip hop,melodic rap,pop rap,r&b,rap,trap"
"7gZfnEnfiaHzxARJ2LeXrf","6ix9ine","emo rap,rap"
"31W5EY0aAly4Qieq6OFu6I","A Boogie Wit da Hoodie","melodic rap,pop rap,rap,trap"
"5dHt1vcEm9qb8fCyLcB3HL","A$AP Ferg","hip hop,pop rap,rap,southern hip hop,trap,underground hip hop"
"13ubrt8QOOCPljQ2FL1Kca","A$AP Rocky","east coast hip hop,hip hop,rap,trap"
"711MCceyCBcFnzjGY4Q7Un","AC/DC","australian rock,hard rock,rock"
"77qukKzmdI5BeMBR7WGUrN","Aaron Smith","chicago house"
"0g9vAlRPK9Gt3FKCekk4TW","Ab-Soul","alternative hip hop,conscious hip hop,escape room,hip hop,rap,southern hip hop,underground hip hop"
"7eLcDZDYHXZCebtQmVFL25","Aitana","latin pop,latin talent show,spanish pop"
"7vk5e3vY1uw9plTHJAMwjN","Alan Walker","electro house"
"5IH6FPUwQTxPSXurCrcIov","Alec Benjamin","alt z,electropop,pop"
"2wUjUUtkb5lvLKcGKsKqsR","Alessia Cara","canadian contemporary r&b,canadian pop,dance pop,electropop,pop,post-teen pop"
"4AVFqumd2ogHFlRbKIjp1t","Alesso","dance pop,edm,electro house,pop,pop dance,progressive electro house,tropical house"
"2DspEsT7UXGKd2VaaedgG4","Alex Rose","latin,reggaeton,reggaeton flow,trap latino"
"0OROVBEZCocg0FcgJpyBse","Alex Sensation","reggaeton,reggaeton flow,trap latino"
"4rTv3Ejc7hKMtmoBOK1B4T","Ali Gatie","canadian hip hop,pop"
"2urF8dgLVfDjunO0pcHUEe","Alvaro Soler","latin pop"
