artist_id,artist_name,selected_genre
6Ff53KvcvAj5U7Z1vojB5o,*NSYNC,boy band
17lzZA2AlOHwCwFALHttmp,2 Chainz,hip hop
1URnnhqYAYcrqrcwql10ft,21 Savage,hip hop
6fWVd57NKTalqvmjRd2t8Z,24kGoldn,rap
5Rl15oVamLq7FbSb0NNBNy,5 Seconds of Summer,pop
4IVAbR2w4JJNJDDRFP3E83,6LACK,rap
7gZfnEnfiaHzxARJ2LeXrf,6ix9ine,rap
31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,rap
5dHt1vcEm9qb8fCyLcB3HL,A$AP Ferg,hip hop
13ubrt8QOOCPljQ2FL1Kca,A$AP Rocky,hip hop
711MCceyCBcFnzjGY4Q7Un,AC/DC,rock
77qukKzmdI5BeMBR7WGUrN,Aaron Smith,house
0g9vAlRPK9Gt3FKCekk4TW,Ab-Soul,hip hop
7eLcDZDYHXZCebtQmVFL25,Aitana,pop
7vk5e3vY1uw9plTHJAMwjN,Alan Walker,house
5IH6FPUwQTxPSXurCrcIov,Alec Benjamin,pop
2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara,pop
4AVFqumd2ogHFlRbKIjp1t,Alesso,dance
2DspEsT7UXGKd2VaaedgG4,Alex Rose,reggaeton
0OROVBEZCocg0FcgJpyBse,Alex Sensation,reggaeton
4rTv3Ejc7hKMtmoBOK1B4T,Ali Gatie,pop
2urF8dgLVfDjunO0pcHUEe,Alvaro Soler,pop
6kq4GHwUcUojGIu0ziSNXf,Amenazzy,reggaeton
3Gm5F95VdRxW3mqCn8RPBJ,Aminé,hip hop
3jK9MiCrA42lLAdMGUZpwa,Anderson .Paak,escape room
4sj6D0zlMOl25nprDJBiU9,Andy Williams,mellow
7FNnA9vBm6EKceENgCGRMb,Anitta,funk
1zNqDE7qDGCsyzJwohVaoX,Anne-Marie,pop
4jpsw9CQS439N0B7SecMgf,Ant Saunders,r&b
2R21vXR83lH98kGeO99Y66,Anuel AA,reggaeton
1qQLhymHXFPtP5U8KNKsm6,Apache 207,hip hop
7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,rock
7nwUJBm0HE4ZxD3f5cy5ok,Aretha Franklin,soul
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,pop
0vRvGUQVUjytro0xpb26bs,Arizona Zervas,rap
0SfsnGyD8FpIN4U4WCkBZ5,Armin van Buuren,dance
4npEfmQ6YuiwW1GpUmaq3F,Ava Max,pop
1vCWHaC5f2uS3yhpwWbIA6,Avicii,dance
0p4nmQO2msCgU4IF37Wi3j,Avril Lavigne,pop
2XnBwblw31dfGnspMIwgWz,Axwell /\ Ingrosso,dance
39KEQQAG9JhIt71g9NEVhh,Azet,hip hop
41MozSoPIsD1dJM0CLPjZF,BLACKPINK,kpop
1Bl6wpkWCQ4KVgnASpvzzA,BROCKHAMPTON,boy band
3Nrfpe0tUJi4K4DXYWgMUX,BTS,kpop
4q3ewBCX7sLwd24euuV69X,Bad Bunny,reggaeton
2uFC1dAj5b0YU7vulKNZ0p,Banx & Ranx,basshall
35S20clEkkSNUo23ViaslZ,Band Aid,musical advocacy
4GvEc3ANtPPjt1ZJllr5Zl,Bazzi,pop
64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,pop
4obzFoKoKRHIphyHzJ35G3,Becky G,pop
6vWDO969PvNqNYHIOW5v0m,Beyoncé,pop
0c173mlxpT3dSFRgMO8XPh,Big Sean,hip hop
7mnAzEmgquhrVtGob81SmO,Big Shaq,rap
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,pop
6ZjFtWeHP9XN7FeKSUe80S,Bing Crosby,easy listening
716NhGYqD1jl2wI1Qkgq36,Bizarrap,trap
1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,pop
3yzRiNMZdTsSUgplcyYZ4i,Blanco Brown,country
4TEJudQY2pXxVHPE3gD2EU,BlocBoy JB,hip hop
3Fl1V19tmjt57oBdxXKAjJ,Blueface,rap
5n9bMYfz9qss2VOW89EVs2,Bomba Estéreo,cumbia
54R6Y0I7jGUCveDTtI21nb,Boney M.,pop
1aS5tqEs9ci5P9KD9tZWa6,Bonez MC,hip hop
4cPHsZM98sKzmV26wlwD2W,Brenda Lee,easy listening
0qSX3s5pJnAlSsgsCne8Cz,Brett Eldredge,country
26dSoYclwsYLMAKD3tpOr4,Britney Spears,pop
3eqjTLE0HfPfh78zjh6TqT,Bruce Springsteen,rock
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,pop
6w9ToX5slZ4uIdmD17hJ3c,Bryant Myers,reggaeton
1ShZZUjkbXCjhwrb18BA8I,Bryce Vine,pop
