"TID" "item"
1 "TERM_amor"
1 "TERM_baby"
1 "TERM_bebe"
1 "TERM_bebecita"
1 "TERM_beber"
1 "PROFANE_criminal"
1 "TERM_cuerpo"
1 "TERM_deja"
1 "TERM_disco"
1 "TERM_ere"
1 "TERM_fiel"
1 "TERM_hacemo"
1 "TERM_hombre"
1 "TERM_loca"
1 "TERM_mami"
1 "TERM_moja"
1 "TERM_mujer"
1 "TERM_nena"
1 "TERM_novio"
1 "TERM_olvidar"
1 "TERM_pasa"
1 "TERM_piel"
1 "TERM_pone"
1 "TERM_quieres"
1 "TERM_sol"
1 "TERM_toca"
1 "TERM_uah"
1 "TERM_vas"
1 "TERM_veo"
1 "TERM_yeh"
2 "TERM_baby"
2 "TERM_baila"
2 "TERM_bebecita"
2 "TERM_borracha"
2 "PROFANE_culo"
2 "TERM_dale"
2 "TERM_dame"
2 "TERM_darte"
2 "TERM_dura"
2 "TERM_ere"
2 "TERM_falta"
2 "TERM_flow"
2 "TERM_gusta"
2 "TERM_mala"
2 "TERM_mamacita"
2 "TERM_mami"
2 "TERM_mano"
2 "TERM_mueve"
2 "TERM_nena"
2 "TERM_noche"
2 "TERM_papi"
2 "TERM_pare"
2 "TERM_quiero"
2 "TERM_vaina"
3 "TERM_alguien"
3 "TERM_amar"
3 "TERM_amigas"
3 "TERM_baby"
3 "TERM_bebe"
3 "TERM_calle"
3 "TERM_casa"
3 "TERM_dime"
3 "TERM_fumar"
3 "TERM_hmm"
3 "TERM_mera"
3 "TERM_mujer"
3 "TERM_noche"
3 "TERM_olvido"
3 "TERM_pasa"
3 "TERM_perreo"
3 "TERM_pienso"
3 "TERM_playa"
3 "TERM_sigo"
3 "TERM_sol"
3 "TERM_the"
3 "TERM_vamo"
3 "TERM_veo"
3 "TERM_yeah"
3 "TERM_yeh"
4 "TERM_amarte"
4 "TERM_baby"
4 "TERM_bebe"
4 "TERM_bebecita"
4 "TERM_beso"
4 "PROFANE_cabron"
4 "TERM_cara"
4 "TERM_comerte"
4 "TERM_destino"
4 "TERM_dime"
4 "TERM_fumar"
4 "TERM_ganas"
4 "TERM_mala"
4 "TERM_mami"
4 "TERM_mundo"
4 "TERM_noche"
4 "TERM_novio"
4 "TERM_piel"
4 "TERM_quedate"
4 "TERM_quieres"
4 "TERM_quiero"
4 "TERM_rauw"
4 "TERM_rico"
4 "TERM_supe"
4 "TERM_the"
4 "TERM_tranquila"
4 "TERM_vas"
4 "TERM_veo"
4 "TERM_vida"
4 "TERM_volver"
4 "TERM_yeah"
4 "TERM_yeh"
5 "TERM_aca"
5 "PROFANE_alla"
5 "TERM_amor"
5 "TERM_baby"
5 "TERM_bebe"
5 "TERM_besos"
5 "TERM_buscar"
5 "TERM_corazon"
5 "TERM_cuerpo"
5 "TERM_dime"
5 "TERM_llama"
5 "TERM_mami"
5 "TERM_mundo"
5 "TERM_music"
5 "TERM_ozuna"
5 "TERM_paso"
5 "TERM_quiero"
5 "TERM_sigo"
5 "TERM_tenerte"
5 "TERM_vaina"
5 "TERM_veo"
5 "TERM_viene"
5 "TERM_vuelvo"
5 "TERM_woh"
6 "TERM_bailando"
6 "TERM_calor"
6 "TERM_cintura"
6 "TERM_corazon"
6 "TERM_cuerpo"
6 "TERM_maniana"
6 "TERM_necesita"
6 "TERM_parar"
6 "TERM_playa"
6 "TERM_sol"
6 "TERM_ven"
7 "TERM_amor"
7 "TERM_baby"
7 "TERM_bebe"
7 "TERM_calor"
7 "TERM_deja"
7 "TERM_dime"
7 "TERM_dimelo"
7 "TERM_flow"
7 "TERM_gana"
7 "TERM_girl"
7 "TERM_hora"
7 "TERM_llega"
7 "TERM_llevo"
7 "TERM_mujer"
7 "TERM_mundo"
7 "TERM_necesito"
7 "TERM_oye"
7 "TERM_paso"
7 "TERM_piel"
7 "TERM_pum"
7 "TERM_queda"
7 "TERM_quedate"
7 "TERM_quede"
7 "TERM_quieres"
7 "TERM_quiero"
7 "TERM_rico"
7 "TERM_salir"
7 "TERM_sol"
7 "TERM_vas"
7 "TERM_yah"
7 "TERM_yeh"
8 "TERM_aja"
8 "TERM_baby"
8 "TERM_balvin"
8 "TERM_bella"
8 "TERM_cuerpo"
8 "TERM_digo"
8 "TERM_entera"
8 "TERM_gusta"
8 "TERM_leggo"
8 "TERM_mami"
8 "TERM_man"
8 "TERM_pasar"
8 "TERM_pide"
8 "TERM_pido"
8 "TERM_piel"
8 "TERM_pone"
8 "TERM_pongo"
